1,10
2,7
3,5
4,4
5,3
6,4
7,5
8,1
9,5
10,4
11,3
12,4
13,5
14,7
15,5
16,4
17,3
18,4
19,5
20,6
21,5
22,4
23,3
24,4
25,5
26,7
27,5
28,4
29,3
30,4
31,5
32,6
33,5
34,4
35,3
36,4
37,5
38,8
39,5
40,4
41,3
42,4
43,5
44,7
45,5
46,4
47,3
48,4
49,5
50,6
51,5
52,4
53,3
54,4
55,5
56,6
57,5
58,4
59,3
60,4
61,5
62,7
63,5
64,4
65,3
66,4
67,5
68,6
69,5
70,4
71,3
72,4
73,5
74,7
75,5
76,4
77,3
78,4
79,5
80,6
81,5
82,4
83,3
84,4
85,5
86,6
87,5
88,4
89,3
90,4
91,5
92,7
93,5
94,4
95,3
96,4
97,5
98,6
99,5
100,4
101,3
102,4
103,5
104,8
